confirmedCode;date;confirmedQuantity;confirmedTotalQuantity;nameCountry;nameDataset
Confirmed-000689;2020-05-30;14;174;Zimbabue;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000690;2020-05-30;5;433;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000691;2020-05-30;16;479;Santo Tomé y Príncipe;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000692;2020-05-30;49;2799;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000693;2020-05-30;4;359;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000694;2020-05-30;3;84;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000695;2020-05-30;1;956;Níger;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000696;2020-05-30;60;483;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000697;2020-05-30;1727;30967;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000698;2020-05-30;40;7780;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000699;2020-05-30;1367;23449;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000700;2020-05-30;12;130;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000701;2020-05-30;16;421;Cabo Verde;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000702;2020-05-30;4;283;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000703;2020-05-30;133;9267;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000704;2020-05-30;10;244;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000705;2020-05-30;143;1888;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000706;2020-05-30;6;279;Malaui;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000707;2020-05-30;88;1916;Somalia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000708;2020-05-30;24;1250;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000709;2020-05-30;60;758;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000710;2020-05-30;95;1063;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000711;2020-05-30;26;7740;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000712;2020-05-30;106;3535;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000713;2020-05-29;8;232;Benín;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000714;2020-05-29;50;3706;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000715;2020-05-29;279;4800;Sudán;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000716;2020-05-29;88;962;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000717;2020-05-29;5;1076;Túnez;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000718;2020-05-29;19;106;Comoras;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000719;2020-05-29;152;7768;Ghana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000720;2020-05-29;7;280;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000721;2020-05-29;280;3194;Yibuti;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000722;2020-05-29;11;160;Zimbabue;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000723;2020-05-29;223;5659;Camerún;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000724;2020-05-29;133;2966;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000725;2020-05-29;6;428;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000726;2020-05-29;387;9302;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000727;2020-05-29;182;2613;Gabón;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000728;2020-05-29;5;463;Santo Tomé y Príncipe;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000729;2020-05-29;61;1256;Guinea-Bisáu;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000730;2020-05-29;4;81;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000731;2020-05-29;263;1306;Guinea Ecuatorial;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000732;2020-05-29;12;329;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000733;2020-05-29;109;2750;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000734;2020-05-29;1;234;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000735;2020-05-29;1837;29240;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000736;2020-05-29;13;118;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000737;2020-05-29;77;423;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000738;2020-05-29;17;7714;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000739;2020-05-29;137;9134;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000740;2020-05-29;15;405;Cabo Verde;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000741;2020-05-29;1;335;Mauricio;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000742;2020-05-29;42;698;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000743;2020-05-29;33;759;Chad;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000744;2020-05-29;1289;22082;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000745;2020-05-29;6;355;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000746;2020-05-29;32;1226;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000747;2020-05-29;17;829;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000748;2020-05-29;70;273;Malaui;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000749;2020-05-29;127;1745;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000750;2020-05-29;137;968;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000751;2020-05-29;54;7697;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000752;2020-05-29;81;3429;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000753;2020-05-29;1;23;Namibia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000754;2020-05-28;28;881;Burkina Faso;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000755;2020-05-28;21;63;Burundi;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000756;2020-05-28;6;853;Burkina Faso;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000757;2020-05-28;14;224;Benín;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000758;2020-05-28;119;874;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000759;2020-05-28;103;3656;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000760;2020-05-28;12;583;República del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000761;2020-05-28;4;273;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000762;2020-05-28;3;1071;Túnez;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000763;2020-05-28;313;7616;Ghana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000764;2020-05-28;30;812;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000765;2020-05-28;85;2641;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000766;2020-05-28;173;2833;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000767;2020-05-28;112;2431;Gabón;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000768;2020-05-28;17;149;Zimbabue;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000769;2020-05-28;54;346;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000770;2020-05-28;182;8915;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000771;2020-05-28;1466;27403;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000772;2020-05-28;36;317;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000773;2020-05-28;15;458;Santo Tomé y Príncipe;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000774;2020-05-28;1127;20793;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000775;2020-05-28;6;105;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000776;2020-05-28;53;755;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000777;2020-05-28;27;422;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000778;2020-05-28;44;656;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000779;2020-05-28;3;349;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000780;2020-05-28;7;7643;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000781;2020-05-28;4;77;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000782;2020-05-28;6;233;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000783;2020-05-28;140;8997;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000784;2020-05-28;7;279;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000785;2020-05-28;11;726;Chad;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000786;2020-05-28;97;1828;Somalia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000787;2020-05-28;78;1194;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000788;2020-05-28;102;203;Malaui;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000789;2020-05-28;217;2914;Yibuti;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000790;2020-05-28;147;1618;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000791;2020-05-28;95;3348;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000792;2020-05-28;100;831;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000793;2020-05-28;35;7636;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000794;2020-05-27;175;4521;Sudán;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000795;2020-05-27;107;3553;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000796;2020-05-27;3;269;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000797;2020-05-27;17;1068;Túnez;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000798;2020-05-27;114;2660;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000799;2020-05-27;28;782;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000800;2020-05-27;81;2319;Gabón;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000801;2020-05-27;186;7303;Ghana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000802;2020-05-27;389;8733;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000803;2020-05-27;2;73;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000804;2020-05-27;24;292;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000805;2020-05-27;17;1195;Guinea-Bisáu;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000806;2020-05-27;2;443;Santo Tomé y Príncipe;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000807;2020-05-27;20;99;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000808;2020-05-27;28;281;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000809;2020-05-27;79;2556;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000810;2020-05-27;4;395;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000811;2020-05-27;1673;25937;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000812;2020-05-27;3;955;Níger;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000813;2020-05-27;910;19666;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000814;2020-05-27;76;132;Zimbabue;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000815;2020-05-27;15;715;Chad;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000816;2020-05-27;17;7601;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000817;2020-05-27;2;571;República del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000818;2020-05-27;26;612;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000819;2020-05-27;7;346;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000820;2020-05-27;11;272;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000821;2020-05-27;2;79;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000822;2020-05-27;188;994;Sudán del Sur;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000823;2020-05-27;160;8857;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000824;2020-05-27;14;227;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000825;2020-05-27;137;1057;Zambia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000826;2020-05-27;229;2697;Yibuti;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000827;2020-05-27;20;1731;Somalia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000828;2020-05-27;39;1116;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000829;2020-05-27;123;1471;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000830;2020-05-27;7;7584;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000831;2020-05-27;92;3253;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000832;2020-05-27;30;731;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000833;2020-05-27;1;22;Namibia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000834;2020-05-27;74;5436;Camerún;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000835;2020-05-26;2;847;Burkina Faso;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000836;2020-05-26;200;4346;Sudán;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000837;2020-05-26;19;754;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000838;2020-05-26;88;3446;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000839;2020-05-26;31;702;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000840;2020-05-26;2;210;Benín;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000841;2020-05-26;153;7117;Ghana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000842;2020-05-26;143;2546;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000843;2020-05-26;54;2477;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000844;2020-05-26;276;8344;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000845;2020-05-26;103;2238;Gabón;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000846;2020-05-26;142;441;Santo Tomé y Príncipe;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000847;2020-05-26;5;391;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000848;2020-05-26;1;71;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000849;2020-05-26;2;77;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000850;2020-05-26;6;268;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000851;2020-05-26;31;253;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000852;2020-05-26;649;24264;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000853;2020-05-26;1;952;Níger;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000854;2020-05-26;318;5362;Camerún;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000855;2020-05-26;1;101;Malaui;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000856;2020-05-26;13;700;Chad;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000857;2020-05-26;21;7577;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000858;2020-05-26;3;339;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000859;2020-05-26;5;261;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000860;2020-05-26;194;8697;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000861;2020-05-26;789;18756;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000862;2020-05-26;4;213;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000863;2020-05-26;38;569;República del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000864;2020-05-26;44;586;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000865;2020-05-26;22;1711;Somalia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000866;2020-05-26;62;1348;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000867;2020-05-26;18;1077;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000868;2020-05-26;24;7556;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000869;2020-05-26;31;3161;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000870;2020-05-26;46;701;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000871;2020-05-25;170;4146;Sudán;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000872;2020-05-25;151;806;Sudán del Sur;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000873;2020-05-25;36;3358;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000874;2020-05-25;19;671;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000875;2020-05-25;156;6964;Ghana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000876;2020-05-25;1;266;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000877;2020-05-25;106;2403;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000878;2020-05-25;17;208;Benín;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000879;2020-05-25;29;1059;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000880;2020-05-25;229;8068;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000881;2020-05-25;8;299;Santo Tomé y Príncipe;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000882;2020-05-25;7;390;Cabo Verde;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000883;2020-05-25;201;2135;Gabón;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000884;2020-05-25;5;386;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000885;2020-05-25;47;2423;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000886;2020-05-25;10;222;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000887;2020-05-25;6;951;Níger;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000888;2020-05-25;25;262;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000889;2020-05-25;37;7532;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000890;2020-05-25;9;336;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000891;2020-05-25;12;687;Chad;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000892;2020-05-25;1;70;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000893;2020-05-25;1032;23615;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000894;2020-05-25;154;5044;Camerún;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000895;2020-05-25;15;209;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000896;2020-05-25;702;17967;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000897;2020-05-25;197;8503;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000898;2020-05-25;6;256;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000899;2020-05-25;198;2468;Yibuti;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000900;2020-05-25;72;1286;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000901;2020-05-25;14;735;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000902;2020-05-25;95;1689;Somalia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000903;2020-05-25;44;531;República del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000904;2020-05-25;17;100;Malaui;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000905;2020-05-25;15;542;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000906;2020-05-25;73;655;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000907;2020-05-25;83;3130;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000908;2020-05-25;62;7495;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000909;2020-05-24;47;3322;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000910;2020-05-24;4;845;Burkina Faso;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000911;2020-05-24;156;3976;Sudán;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000912;2020-05-24;48;652;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000913;2020-05-24;3;1051;Túnez;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000914;2020-05-24;293;4890;Camerún;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000915;2020-05-24;125;6808;Ghana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000916;2020-05-24;14;212;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000917;2020-05-24;156;2297;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000918;2020-05-24;1;83;Malaui;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000919;2020-05-24;10;2376;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000920;2020-05-24;83;1043;Guinea Ecuatorial;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000921;2020-05-24;64;1178;Guinea-Bisáu;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000922;2020-05-24;92;655;Sudán del Sur;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000923;2020-05-24;100;721;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000924;2020-05-24;2;334;Mauricio;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000925;2020-05-24;12;383;Cabo Verde;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000926;2020-05-24;313;7839;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000927;2020-05-24;10;237;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000928;2020-05-24;8;381;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000929;2020-05-24;2;69;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000930;2020-05-24;2;945;Níger;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000931;2020-05-24;1240;22583;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000932;2020-05-24;752;17265;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000933;2020-05-24;12;250;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000934;2020-05-24;5;35;Botsuana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000935;2020-05-24;10;265;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000936;2020-05-24;6;67;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000937;2020-05-24;193;8306;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000938;2020-05-24;2;327;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000939;2020-05-24;4;7433;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000940;2020-05-24;27;675;Chad;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000941;2020-05-24;26;194;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000942;2020-05-24;22;1214;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000943;2020-05-24;15;1030;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000944;2020-05-24;39;527;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000945;2020-05-24;71;3047;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000946;2020-05-24;88;582;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000947;2020-05-24;23;7429;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000948;2020-05-24;1;21;Namibia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000949;2020-05-23;9;841;Burkina Faso;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000950;2020-05-23;99;3275;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000951;2020-05-23;192;3820;Sudán;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000952;2020-05-23;9;87;Comoras;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000953;2020-05-23;15;621;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000954;2020-05-23;52;604;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000955;2020-05-23;56;191;Benín;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000956;2020-05-23;27;227;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000957;2020-05-23;197;4597;Camerún;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000958;2020-05-23;66;6683;Ghana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000959;2020-05-23;265;7526;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000960;2020-05-23;116;2141;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000961;2020-05-23;206;1934;Gabón;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000962;2020-05-23;23;198;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000963;2020-05-23;10;373;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000964;2020-05-23;6;943;Níger;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000965;2020-05-23;25;2366;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000966;2020-05-23;1218;21343;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000967;2020-05-23;9;291;Santo Tomé y Príncipe;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000968;2020-05-23;1;61;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000969;2020-05-23;13;238;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000970;2020-05-23;37;648;Chad;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000971;2020-05-23;49;487;República del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000972;2020-05-23;4;325;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000973;2020-05-23;727;16513;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000974;2020-05-23;9;371;Cabo Verde;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000975;2020-05-23;46;1015;Mali;confirmed_cases_africa_ncov_2020-06-16
