confirmedCode;date;confirmedQuantity;confirmedTotalQuantity;nameCountry;nameDataset
Confirmed-000066;2020-06-15;10;104;Burundi;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000067;2020-06-14;1;895;Burkina Faso;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000068;2020-06-14;38;4572;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000069;2020-06-14;2;30;Gambia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000070;2020-06-14;32;1492;Guinea-Bisáu;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000071;2020-06-14;67;2289;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000072;2020-06-14;40;498;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000073;2020-06-14;14;1110;Túnez;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000074;2020-06-14;104;883;República del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000075;2020-06-14;13;483;Benín;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000076;2020-06-14;9;705;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000077;2020-06-14;59;4837;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000078;2020-06-14;403;16085;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000079;2020-06-14;2;661;Santo Tomé y Príncipe;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000080;2020-06-14;101;1783;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000081;2020-06-14;4302;70038;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000082;2020-06-14;292;9864;Camerún;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000083;2020-06-14;1;531;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000084;2020-06-14;236;5084;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000085;2020-06-14;1618;44598;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000086;2020-06-14;24;750;Cabo Verde;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000087;2020-06-14;27;383;Zimbabue;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000088;2020-06-14;41;582;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000089;2020-06-14;109;10919;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000090;2020-06-14;2;140;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000091;2020-06-14;18;547;Malaui;confirmed_cases_africa_ncov_2020-06-16
