DATE_INSERT;DATE_CASE;NEW_CASES;TOTAL_CASES;ID_UNISO_COUNTRY;COUNTRY_NAME;SOURCE;
"2020-05-10 18:39:21";"2020-05-10";"1";"19";"686";"SENEGAL";"https://twitter.com/MinisteredelaS1/status/1259523215463976960/photo/1";
"2020-05-10 17:44:40";"2020-05-10";"11";"525";"818";"EGYPT";"https://twitter.com/mohpegypt/status/1259507861220188160/photo/1";
"2020-05-10 17:37:43";"2020-05-10";"8";"502";"12";"ALGERIA";"https://www.observalgerie.com/covid-19-en-algerie-165-nouveaux-cas-en-24-heures-la-barre-des-500-deces-franchie/2020/";
"2020-05-10 17:26:33";"2020-05-10";"2";"32";"404";"KENYA";"https://twitter.com/MOH_Kenya/status/1259477834160050176/photo/1";
"2020-05-10 17:23:58";"2020-05-10";"1";"38";"466";"MALI";"https://twitter.com/GouvernementM/status/1259484281379921922/photo/1";
"2020-05-10 17:03:04";"2020-05-10";"3";"51";"706";"SOMALIA";"https://twitter.com/SomaliaCovid19/status/1259490033553334274";
"2020-05-10 12:23:42";"2020-05-10";"1";"18";"686";"SENEGAL";"https://twitter.com/MinisteredelaS1/status/1259428348582821889";
"2020-05-10 12:14:04";"2020-05-10";"2";"188";"504";"MOROCCO";"https://twitter.com/Ministere_Sante/status/1259424424392040450/photo/1";
"2020-05-10 11:53:41";"2020-05-10";"4";"114";"120";"CAMEROON";"https://twitter.com/DrManaouda/status/1259420519004282882";
"2020-05-10 20:03:43";"2020-05-09";"1";"49";"854";"BURKINA";"https://twitter.com/burkina24/status/1259539735179034624/photo/1";
"2020-05-10 11:16:27";"2020-05-09";"1";"45";"788";"TUNISIA";"https://twitter.com/covid19tunisia/status/1259281889870917639/photo/4";
"2020-05-10 11:13:20";"2020-05-09";"2";"41";"180";"DRC";"https://twitter.com/OMSRDCONGO/status/1259327618551349248";
"2020-05-10 00:52:40";"2020-05-09";"5";"64";"729";"SUDAN";"https://twitter.com/SDN_Health/status/1259253462329688064/photo/1";
"2020-05-10 00:32:01";"2020-05-09";"1";"21";"384";"CIV";"https://twitter.com/RTI_info/status/1259202916524658690";
"2020-05-10 00:19:36";"2020-05-09";"11";"128";"566";"NIGERIA";"https://twitter.com/NCDCgov/status/1259244956134367237/photo/1";
"2020-05-09 23:48:59";"2020-05-09";"1";"87";"120";"CAMEROON";"http://covid19.minsante.cm";
"2020-05-09 22:22:56";"2020-05-09";"4";"22";"288";"GHANA";"https://twitter.com/moigovgh/status/1259215255823056897/photo/2";
"2020-05-09 22:06:07";"2020-05-09";"1";"3";"624";"GUINEA-B.";"https://www.lusa.pt/article/kGsqQtPI7xG4KUpV7qC8JDMSZM5iuSI1";
"2020-05-09 21:53:05";"2020-05-09";"1";"45";"562";"NIGER";"https://twitter.com/Covid19Niger/status/1259206537815392257/photo/1";
"2020-05-09 21:49:20";"2020-05-09";"3";"31";"148";"CHAD";"https://twitter.com/Covid19TD/status/1259191133705580544/photo/1";
